"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"203358_s_at",1.25270900598655,8.09261643025353,6.09160828048574,2.51875406244471e-08,2.79230829718684e-06,8.83812785265659
"209513_s_at",-1.50177860689495,9.14284657443569,-6.0862349643982,2.57982832265435e-08,2.8458571541439e-06,8.8151154169064
"208607_s_at",-2.18414471626748,8.55890215529977,-6.0689802912224,2.78598962506876e-08,3.05813826676883e-06,8.74127538012699
"212282_at",1.35810648066988,9.10746840212997,6.05859244160434,2.91785008354138e-08,3.1871790888016e-06,8.69686349131676
"201952_at",1.18306788477027,10.5093312110014,6.03299760487992,3.26956800486119e-08,3.52668888000235e-06,8.58757221128181
"205709_s_at",1.17841109519024,5.75558265778748,6.03226904434546,3.28016844106812e-08,3.52668888000235e-06,8.58446406874974
"222161_at",-1.41162811984064,5.69235248771723,-6.03146016148235,3.29197723394736e-08,3.52668888000235e-06,8.58101344521495
"210869_s_at",-1.35944168900459,9.54271481303405,-6.0300289820713,3.31297359507746e-08,3.53220050809144e-06,8.57490863729183
"213605_s_at",1.65655904101797,9.13419947352036,6.02364128504695,3.40830576062155e-08,3.59952412440458e-06,8.54766887476136
"200878_at",-1.61520525738115,10.5001734414404,-6.02363333284218,3.40842611070936e-08,3.59952412440458e-06,8.54763497090023
"219093_at",-1.49883732275918,8.53571936069034,-6.00672105439424,3.67408866081215e-08,3.8467101997673e-06,8.47557317482351
"204018_x_at",-1.74934640507693,9.04987539272713,-6.006541547055,3.67701509020525e-08,3.8467101997673e-06,8.47480877053171
"201842_s_at",-1.02191118117748,11.5834206348666,-5.99142973468464,3.93179024661015e-08,4.09402252641187e-06,8.41049235847102
"214677_x_at",2.2455761568391,9.72128750201053,5.97307955540004,4.26462980594167e-08,4.41994167282782e-06,8.3324865397577
"210299_s_at",-1.74013731449,9.91321405511764,-5.96566623934414,4.40683171799221e-08,4.52522724295025e-06,8.30100200916415
"202193_at",1.31748999054817,8.93797676372146,5.96435926395063,4.4323818826045e-08,4.53058557293927e-06,8.2954529998012
"213236_at",-1.21606024361571,9.10008194231002,-5.94979083946094,4.72724786481858e-08,4.78805746235238e-06,8.23363557315174
"209173_at",2.54119489644662,7.99032096307134,5.93102604001449,5.13566131827197e-08,5.15486221419163e-06,8.15410850983295
"210762_s_at",-1.04529046115887,10.5330279047938,-5.91092832410584,5.61164459451479e-08,5.58233377230237e-06,8.06905396014681
"214705_at",1.74495619031926,5.60392084115166,5.9087834024532,5.6649396640678e-08,5.61030446819657e-06,8.05998400968375
"213397_x_at",-1.06900973329079,10.5018061881058,-5.89997357154473,5.88911419175334e-08,5.80651024490441e-06,8.02274619497701
"213765_at",-1.41031584475124,9.17366403023535,-5.89277064537086,6.07886962614422e-08,5.94102859120051e-06,7.9923186949843
"200973_s_at",-1.57037225186076,7.0821062542606,-5.88763752904687,6.217757792843e-08,6.05023130558605e-06,7.97064475025406
"210740_s_at",-1.23544042414886,9.38176125422282,-5.88417690102944,6.31315093365237e-08,6.11634531541634e-06,7.95603738880293
"201005_at",2.2300202905524,9.04533986204711,5.87330340920396,6.62235319912412e-08,6.36059898000357e-06,7.91016496886594
"201448_at",1.60261844481016,7.90894607142449,5.87164864375224,6.67069733084239e-08,6.37953427567215e-06,7.90318724488033
"213309_at",-1.17413153361684,8.17155829472581,-5.86218258049278,6.95399983946561e-08,6.62205035994923e-06,7.8632880714592
"203680_at",-1.56194036555453,10.2363722445773,-5.8517279788403,7.28065792018353e-08,6.90361278448721e-06,7.81925557572803
"202982_s_at",-1.87596381434675,7.44509288738312,-5.83978147117594,7.67244227666249e-08,7.22914753987534e-06,7.76898252187263
